,latest_exposure,latest_12m_zscore,stretched_exposure_flag
Market,-0.2759305935701344,-1.964060401838642,False
Size,0.032469925714408494,-0.3585324765916079,False
Value,-0.4377025147580051,1.0049211616283364,False
Momentum,2.456097829804709,-1.2237418205499915,False
Quality,-1.262376267941709,-1.9242638178370624,False
Low volatility,-0.85341869037353,-1.4723149068832704,False
