Ticker,variance_contribution,absolute_share_of_portfolio_variance
IR,112591455.27223048,0.0009521538015450464
EME,112335990.38287337,0.0009499934078901769
TXT,111937419.12198411,0.000946622804496476
DRI,111197178.17722711,0.0009403627981051782
MTB,110942742.3095519,0.0009382111065929706
DASH,110869052.19349742,0.0009375879303140254
BKR,109891430.52519381,0.0009293204628965608
NOW,109254048.01719193,0.0009239303009471932
GE,105136430.41105883,0.0008891087840966562
URI,105114785.01417977,0.0008889257351532482
DECK,104817615.6322247,0.0008864126585077143
TSN,99263896.98860772,0.0008394464450730813
WAB,99029514.45399758,0.0008374643388750115
BF-B,98781953.11911389,0.0008353707833245025
F,98197028.38566263,0.0008304242418020863
COR,94929527.97797611,0.0008027919234595767
PPL,94612723.722488,0.0008001128002927315
GILD,94351131.8688921,0.0007979005926500438
ARE,94299430.20111534,0.0007974633664022719
CDW,91609267.4226727,0.000774713427607397
CVS,87462819.92407498,0.0007396481045848734
GDDY,85267019.80699095,0.0007210788497168241
FOXA,85124627.62058984,0.0007198746796378042
EIX,82218888.05538522,0.0006953016694869014
AIG,80924693.250395,0.0006843570334083304
ULTA,80337996.17144768,0.0006793955036659144
QCOM,78775740.57268156,0.0006661839539639089
FRT,78683981.08427377,0.0006654079701603062
UPS,76823465.16438541,0.0006496741180516046
CVX,75656547.4338841,0.0006398058278647453
IP,75038704.20509294,0.0006345809040227896
DHR,74875785.83375955,0.0006332031498563518
MPWR,74533823.6834844,0.0006303112735538231
CHRW,-73145960.74742901,0.0006185745128254577
MMM,-72440967.34811422,0.0006126125848656608
D,71887792.48960996,0.0006079345429736675
TAP,69503262.9724184,0.0005877692574357844
BG,68544997.4854158,0.0005796654797189688
TECH,68491748.12406488,0.0005792151650683807
ES,68245144.90302524,0.0005771297120131874
KEYS,-67696938.45639464,0.0005724936865623326
DLR,67035062.352549374,0.0005668963892638446
XEL,65861290.994287744,0.0005569701399031691
LUV,65242658.62295706,0.0005517385425079925
DIS,64713265.049686894,0.0005472616121576035
FE,64412454.94008594,0.0005447177469174998
HUM,59956187.602040194,0.0005070323659410999
FDS,59144228.96185401,0.0005001658634691198
CBOE,58270341.541156806,0.0004927756469759819
SJM,55808803.286518365,0.0004719591205252342
DOC,55267341.807316154,0.0004673801353387825
BSX,54253855.99399983,0.00045880937508323836
KMB,53871231.453672804,0.000455573628553842
