,shock,beta,pnl_contribution
Market,-0.1,0.17852663836858107,-0.01785266383685811
Size,-0.03,0.026584802142854882,-0.0007975440642856464
Value,0.03,-0.16812673844274204,-0.005043802153282261
Momentum,-0.08,2.256748819413298,-0.18053990555306385
Quality,-0.03,-0.6644134970241908,0.019932404910725725
Low volatility,-0.02,-0.745749523869226,0.01491499047738452
Total scenario,,,-0.16938652021937964
