,shock,beta,pnl_contribution
Market,-0.15870211976893944,0.17852663836858107,-0.028332555944316693
Size,-0.18261390232640373,0.026584802142854882,-0.00485475446188207
Value,-0.13054233977500918,-0.16812673844274204,0.021947657815056528
Momentum,0.0078250643755855,2.256748819413298,0.017659204791435634
Quality,0.016825208316937568,-0.6644134970241908,-0.011178895496016989
Low volatility,-0.020044435405550565,-0.745749523869226,0.01494812815991679
Total scenario,,,0.0101887848641932
