,Market,Size,Value,Momentum,Quality,Low volatility
Market,0.0,-0.5940189378638816,-0.21949122003043392,0.2863574416814352,-0.39453026718224354,-0.19798031732260857
Size,-0.5940189378638816,0.0,0.016166198251789443,0.07228026394742443,0.36562105206353296,0.5442042972991504
Value,-0.21949122003043392,0.016166198251789443,0.0,-0.012615429317090976,0.2583914306928726,0.10964823371180588
Momentum,0.2863574416814352,0.07228026394742443,-0.012615429317090976,0.0,-0.2653822270437358,-0.4619531102773184
Quality,-0.39453026718224354,0.36562105206353296,0.2583914306928726,-0.2653822270437358,0.0,0.40505822428684135
Low volatility,-0.19798031732260857,0.5442042972991504,0.10964823371180588,-0.4619531102773184,0.40505822428684135,0.0
