,shock,beta,pnl_contribution
Market,-0.1,0.17852663836858107,-0.01785266383685811
Size,-0.010307253987914256,0.026584802142854882,-0.00027401630790485247
Value,-0.00504817437734725,-0.16812673844274204,0.0008487330931536131
Momentum,0.001283180023402927,2.256748819413298,0.002895815002909284
Quality,0.0039300417608928015,-0.6644134970241908,-0.002611172789805895
Low volatility,0.009540720106796609,-0.745749523869226,-0.007114987477013122
Total scenario,,,-0.024108292315519083
