,value
Annualized alpha,0.13971197863896548
Annualized portfolio return,0.24616025543871214
Annualized factor return contribution,0.10644827680011337
Realized volatility,0.3392711689559346
Factor volatility,0.2676912962885552
Specific volatility,0.20843775084201788
Model volatility,0.3392711689559344
Common-factor risk share,0.6225505071425069
Regression R-squared,0.6225505071425075
