,variance_contribution,absolute_share_of_factor_risk
Momentum,0.056115149178362134,0.7830893239956394
Low volatility,0.008022793179012451,0.11195842440230434
Value,0.003078600129546068,0.04296199742134383
Market,0.003032801263979009,0.04232287227952732
Quality,0.0013911019531423095,0.019412887679095367
Size,1.823672063964092e-05,0.00025449422208968206
