!ModelVer:100
!ReleaseDateTime:20160301 19:05:37
!Model|ModelVer|Factor|FactorDisplayName|FactorGroup|FactorNum|StartDate|EndDate
GEM3L|100|GEM3L_IDN|GEM Indonesia Mkt|3-Countries|66|19961231|20751231
GEM3L|100|GEM3L_IRL|GEM Ireland Mkt|3-Countries|67|19961231|20751231
GEM3L|100|GEM3L_ISR|GEM Israel Mkt|3-Countries|68|19961231|20751231
GEM3L|100|GEM3L_ITA|GEM Italy Mkt|3-Countries|69|19961231|20751231
GEM3L|100|GEM3L_JPN|GEM Japan Mkt|3-Countries|70|19961231|20751231
GEM3L|100|GEM3L_JOR|GEM Jordan Mkt|3-Countries|71|19961231|20751231
GEM3L|100|GEM3L_KOR|GEM Korea Mkt|3-Countries|72|19961231|20751231
GEM3L|100|GEM3L_MYS|GEM Malaysia Mkt|3-Countries|73|19961231|20751231
GEM3L|100|GEM3L_MEX|GEM Mexico Mkt|3-Countries|74|19961231|20751231
GEM3L|100|GEM3L_NLD|GEM Netherlands Mkt|3-Countries|75|19961231|20751231
GEM3L|100|GEM3L_NZL|GEM New Zealand Mkt|3-Countries|76|19961231|20751231
GEM3L|100|GEM3L_NOR|GEM Norway Mkt|3-Countries|77|19961231|20751231
GEM3L|100|GEM3L_PAK|GEM Pakistan Mkt|3-Countries|78|19961231|20751231
GEM3L|100|GEM3L_PHL|GEM Philippines Mkt|3-Countries|79|19961231|20751231
GEM3L|100|GEM3L_POL|GEM Poland Mkt|3-Countries|80|19961231|20751231
GEM3L|100|GEM3L_PRT|GEM Portugal Mkt|3-Countries|81|19961231|20751231
GEM3L|100|GEM3L_RUS|GEM Russia Mkt|3-Countries|82|19961231|20751231
GEM3L|100|GEM3L_SGP|GEM Singapore Mkt|3-Countries|83|19961231|20751231
GEM3L|100|GEM3L_ZAF|GEM South Africa Mkt|3-Countries|84|19961231|20751231
GEM3L|100|GEM3L_ESP|GEM Spain Mkt|3-Countries|85|19961231|20751231
GEM3L|100|GEM3L_LKA|GEM Sri Lanka Mkt|3-Countries|86|19961231|20751231
GEM3L|100|GEM3L_SWE|GEM Sweden Mkt|3-Countries|87|19961231|20751231
GEM3L|100|GEM3L_CHE|GEM Switzerland Mkt|3-Countries|88|19961231|20751231
GEM3L|100|GEM3L_TWN|GEM Taiwan Mkt|3-Countries|89|19961231|20751231
GEM3L|100|GEM3L_THA|GEM Thailand Mkt|3-Countries|90|19961231|20751231
GEM3L|100|GEM3L_TUR|GEM Turkey Mkt|3-Countries|91|19961231|20751231
GEM3L|100|GEM3L_GBR|GEM United Kingdom Mkt|3-Countries|92|19961231|20751231
GEM3L|100|GEM3L_USA|GEM United States Mkt|3-Countries|93|19961231|20751231
GEM3L|100|GEM3L_MAR|GEM Morocco Mkt|3-Countries|94|19970530|20751231
GEM3L|100|GEM3L_PER|GEM Peru Mkt|3-Countries|95|19970630|20751231
GEM3L|100|GEM3L_SVN|GEM Slovenia Mkt|3-Countries|96|20000831|20751231
GEM3L|100|GEM3L_NGA|GEM Nigeria Mkt|3-Countries|97|20010228|20751231
GEM3L|100|GEM3L_BHR|GEM Bahrain Mkt|3-Countries|98|20010531|20751231
GEM3L|100|GEM3L_KWT|GEM Kuwait Mkt|3-Countries|99|20010531|20751231
GEM3L|100|GEM3L_OMN|GEM Oman Mkt|3-Countries|100|20010531|20751231
GEM3L|100|GEM3L_QAT|GEM Qatar Mkt|3-Countries|101|20010531|20751231
GEM3L|100|GEM3L_SAU|GEM Saudi Arabia Mkt|3-Countries|102|20010531|20751231
GEM3L|100|GEM3L_ARE|GEM United Arab Emirates Mkt|3-Countries|103|20010531|20751231
GEM3L|100|GEM3L_ISL|GEM Iceland Mkt|3-Countries|104|20010928|20751231
GEM3L|100|GEM3L_HRV|GEM Croatia Mkt|3-Countries|105|20011130|20751231
GEM3L|100|GEM3L_LVA|GEM Latvia Mkt|3-Countries|106|20021129|20751231
GEM3L|100|GEM3L_LTU|GEM Lithuania Mkt|3-Countries|107|20021129|20751231
GEM3L|100|GEM3L_ROU|GEM Romania Mkt|3-Countries|108|20021129|20751231
GEM3L|100|GEM3L_EST|GEM Estonia Mkt|3-Countries|109|20021231|20751231
GEM3L|100|GEM3L_CYP|GEM Cyprus Mkt|3-Countries|110|20030131|20751231
GEM3L|100|GEM3L_KEN|GEM Kenya Mkt|3-Countries|111|20030131|20751231
GEM3L|100|GEM3L_LBN|GEM Lebanon Mkt|3-Countries|112|20030131|20751231
GEM3L|100|GEM3L_MUS|GEM Mauritius Mkt|3-Countries|113|20030131|20751231
