,Ticker,one_year,avg_drawdown,yearly_vol
Equal-weighted,"MSFT,AMZN,CMCSA,PEP,ADBE,COST,CHTR",0.219601833,-0.015252374,0.109845046
Equal-weighted,"MSFT,AAPL,PEP,ADBE,COST,TXN,CHTR",0.255998755,-0.015254974,0.117911444
Equal-weighted,"MSFT,GOOG,CMCSA,PYPL,COST,AMGN,CHTR",0.302982112,-0.015257643,0.104415786
Equal-weighted,"MSFT,AMZN,GOOG,CMCSA,PEP,COST,CHTR",0.240117088,-0.015259593,0.095517964
Equal-weighted,"MSFT,GOOG,CMCSA,PEP,ADBE,AMGN,CHTR",0.241140125,-0.015260164,0.083245644
Equal-weighted,"MSFT,AAPL,GOOG,PEP,COST,TXN,CHTR",0.27651401,-0.015262193,0.103584362
Equal-weighted,"MSFT,PEP,ADBE,PYPL,COST,TXN,CHTR",0.292091896,-0.015262832,0.120966585
Equal-weighted,"MSFT,GOOG,PEP,PYPL,COST,TXN,CHTR",0.312607151,-0.015270051,0.106639503
Equal-weighted,"MSFT,AAPL,CSCO,CMCSA,PEP,COST,CHTR",0.242677095,-0.015275628,0.103485033
Equal-weighted,"MSFT,GOOG,CSCO,ADBE,COST,AMGN,CHTR",0.216768597,-0.015276859,0.088616232
Equal-weighted,"MSFT,GOOG,CSCO,CMCSA,PEP,ADBE,COST",0.217554758,-0.015281651,0.076403924
Equal-weighted,"MSFT,CSCO,CMCSA,PEP,PYPL,COST,CHTR",0.278770235,-0.015283485,0.106540174
Equal-weighted,"MSFT,CMCSA,PEP,COST,AMGN,TXN,CHTR",0.222043468,-0.015286045,0.084962713
Equal-weighted,"MSFT,AAPL,CMCSA,ADBE,PYPL,COST,CHTR",0.327257089,-0.015304485,0.140178913
Equal-weighted,"MSFT,AAPL,GOOG,CMCSA,PYPL,COST,CHTR",0.347772344,-0.015311704,0.12585183
Equal-weighted,"MSFT,AAPL,GOOG,CMCSA,PEP,ADBE,CHTR",0.285930357,-0.015314225,0.104681688
Equal-weighted,"MSFT,AAPL,GOOG,PEP,ADBE,COST,AMGN",0.236653278,-0.015314804,0.101711208
Equal-weighted,"MSFT,AAPL,PEP,PYPL,COST,AMGN,CHTR",0.297868755,-0.015316638,0.131847458
Equal-weighted,"MSFT,GOOG,CMCSA,PEP,ADBE,PYPL,CHTR",0.322023497,-0.015322082,0.107736829
Equal-weighted,"MSFT,GOOG,PEP,ADBE,PYPL,COST,AMGN",0.272746418,-0.015322661,0.104766349
Equal-weighted,"MSFT,AAPL,GOOG,CSCO,ADBE,COST,CHTR",0.261558829,-0.015330919,0.110052277
Equal-weighted,"MSFT,GOOG,CSCO,ADBE,PYPL,COST,CHTR",0.29765197,-0.015338777,0.113107418
Equal-weighted,"MSFT,AAPL,CMCSA,PEP,COST,TXN,CHTR",0.2668337,-0.015340105,0.106398757
Equal-weighted,"MSFT,GOOG,ADBE,COST,AMGN,TXN,CHTR",0.240925203,-0.015341336,0.091529957
Equal-weighted,"MSFT,GOOG,CMCSA,PEP,ADBE,COST,TXN",0.241711364,-0.015346129,0.079317649
Equal-weighted,"MSFT,CMCSA,PEP,PYPL,COST,TXN,CHTR",0.302926841,-0.015347963,0.109453898
Equal-weighted,"MSFT,CSCO,CMCSA,ADBE,COST,AMGN,CHTR",0.207088287,-0.015354771,0.091430628
Equal-weighted,"MSFT,GOOG,CSCO,CMCSA,COST,AMGN,CHTR",0.227603542,-0.01536199,0.077103545
Equal-weighted,"MSFT,CSCO,PEP,ADBE,COST,TXN,CHTR",0.216713326,-0.015367178,0.093654345
Equal-weighted,"MSFT,GOOG,CMCSA,ADBE,COST,AVGO,CHTR",0.298044667,-0.015374308,0.091971064
Equal-weighted,"MSFT,GOOG,CSCO,PEP,COST,TXN,CHTR",0.237228581,-0.015374397,0.079327262
Equal-weighted,"MSFT,AAPL,GOOG,PEP,ADBE,PYPL,COST",0.31753665,-0.015376722,0.126202394
Equal-weighted,"MSFT,PEP,ADBE,COST,AMGN,AVGO,CHTR",0.248141078,-0.015379242,0.097966692
Equal-weighted,"MSFT,GOOG,PEP,COST,AMGN,AVGO,CHTR",0.268656333,-0.015386461,0.083639609
Equal-weighted,"MSFT,AAPL,CMCSA,PEP,ADBE,COST,AMGN",0.226972968,-0.015392716,0.104525604
Equal-weighted,"MSFT,AMZN,GOOG,CMCSA,ADBE,COST,CHTR",0.249318513,-0.015392796,0.104899603
Equal-weighted,"GOOG,CMCSA,PEP,ADBE,COST,AMGN,CHTR",0.210927195,-0.015395,0.085134392
Equal-weighted,"MSFT,AAPL,GOOG,ADBE,COST,TXN,CHTR",0.285715435,-0.015395397,0.112966001
Equal-weighted,"MSFT,AMZN,PEP,ADBE,COST,AMGN,CHTR",0.199414924,-0.01539773,0.110895231
Equal-weighted,"MSFT,AAPL,GOOG,CMCSA,PEP,COST,AMGN",0.247488223,-0.015399935,0.090198521
Equal-weighted,"MSFT,CMCSA,PEP,ADBE,PYPL,COST,AMGN",0.263066108,-0.015400573,0.107580745
Equal-weighted,"MSFT,GOOG,ADBE,PYPL,COST,TXN,CHTR",0.321808575,-0.015403254,0.116021142
Equal-weighted,"MSFT,AMZN,GOOG,PEP,COST,AMGN,CHTR",0.219930179,-0.015404949,0.096568148
Equal-weighted,"MSFT,GOOG,CMCSA,PEP,PYPL,COST,AMGN",0.283581363,-0.015407792,0.093253662
Equal-weighted,"MSFT,AAPL,CSCO,CMCSA,ADBE,COST,CHTR",0.251878519,-0.015408831,0.112866672
Equal-weighted,"MSFT,AAPL,GOOG,CSCO,CMCSA,COST,CHTR",0.272393774,-0.01541605,0.098539589
Equal-weighted,"MSFT,CSCO,CMCSA,ADBE,PYPL,COST,CHTR",0.28797166,-0.015416689,0.115921813
Equal-weighted,"MSFT,CMCSA,ADBE,COST,AMGN,TXN,CHTR",0.231244893,-0.015419249,0.094344352
Equal-weighted,"MSFT,AAPL,CSCO,PEP,COST,AMGN,CHTR",0.222490185,-0.015420984,0.104535217
Equal-weighted,"MSFT,GOOG,CSCO,CMCSA,PYPL,COST,CHTR",0.308486915,-0.015423908,0.10159473
Equal-weighted,"MSFT,GOOG,CSCO,CMCSA,PEP,ADBE,CHTR",0.246644927,-0.015426429,0.080424589
Equal-weighted,"MSFT,GOOG,CMCSA,COST,AMGN,TXN,CHTR",0.251760148,-0.015426468,0.08001727
Equal-weighted,"MSFT,GOOG,CSCO,PEP,ADBE,COST,AMGN",0.197367849,-0.015427008,0.077454109
Equal-weighted,"MSFT,CSCO,PEP,PYPL,COST,AMGN,CHTR",0.258583325,-0.015428842,0.107590358
Equal-weighted,"MSFT,AAPL,PEP,ADBE,COST,AVGO,CHTR",0.29293131,-0.015433302,0.119402736
Equal-weighted,"MSFT,AAPL,GOOG,PEP,COST,AVGO,CHTR",0.313446565,-0.015440521,0.105075653
Equal-weighted,"MSFT,PEP,ADBE,PYPL,COST,AVGO,CHTR",0.32902445,-0.01544116,0.122457877
Equal-weighted,"MSFT,GOOG,PEP,PYPL,COST,AVGO,CHTR",0.349539705,-0.015448379,0.108130794
Equal-weighted,"AAPL,GOOG,CMCSA,PEP,ADBE,COST,CHTR",0.255717427,-0.015449061,0.106570436
Equal-weighted,"MSFT,AAPL,ADBE,PYPL,COST,AMGN,CHTR",0.307070179,-0.015449841,0.141229097
