,Ticker,one_year,avg_drawdown,yearly_vol
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,BEN,ETN",0.556154899,-0.046305647,0.35217814
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ALXN,AMGN",0.570935098,-0.045417053,0.355918341
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,ALXN,ETN",0.578316745,-0.044723947,0.359668021
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AMZN,AMGN,ETN",0.553160273,-0.039993146,0.352254342
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,FB,GOOG",0.779295545,-0.044581617,0.485244337
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,FB,FSLR",0.807327589,-0.048747773,0.511899938
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,FB,SEDG",0.875624664,-0.049155548,0.546446365
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,FB,AXP",0.756970205,-0.04525184,0.485942668
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,FB,BEN",0.764992624,-0.051892666,0.484258403
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,FB,ALXN",0.78715447,-0.050310966,0.491748284
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,FB,AMGN",0.761997998,-0.045580165,0.484334605
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,FB,ETN",0.769379645,-0.044887059,0.488084285
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,GOOG,FSLR",0.813597442,-0.04821007,0.502624254
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,GOOG,SEDG",0.881894516,-0.048646787,0.537170681
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,GOOG,AXP",0.763240058,-0.044714137,0.476666984
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,GOOG,BEN",0.771262476,-0.051354963,0.474982719
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,GOOG,ALXN",0.793424323,-0.049773263,0.4824726
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,GOOG,AMGN",0.76826785,-0.045042462,0.475058921
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,GOOG,ETN",0.775649498,-0.044349356,0.478808601
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,FSLR,SEDG",0.90992656,-0.05300247,0.563826282
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,FSLR,AXP",0.791272102,-0.048880292,0.503322585
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,FSLR,BEN",0.79929452,-0.055521118,0.50163832
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,FSLR,ALXN",0.821456367,-0.053939418,0.509128201
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,FSLR,AMGN",0.796299894,-0.049208618,0.501714522
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,FSLR,ETN",0.803681542,-0.048515511,0.505464202
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,SEDG,AXP",0.859569177,-0.048961893,0.537869013
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ENPH,SEDG,BEN",0.867591595,-0.055900764,0.536184747
