,Ticker,one_year,avg_drawdown,yearly_vol,Ticker total
Equal-weighted,"NFLX,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.341682451,-0.043020388,0.221113048,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,AAPL,AMZN,FB,GOOG,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.323521908,-0.035227454,0.221924715,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,GOOG,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.346928386,-0.040362145,0.222372041,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,FB,GOOG,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.336769054,-0.040552935,0.223881471,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,DIS,CMCSA",0.344793191,-0.040925614,0.224426865,21
Equal-weighted,"NFLX,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.34385185,-0.04428189,0.224810968,22
Equal-weighted,"NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.337589984,-0.039913679,0.224957689,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,MSFT,BRK-B,JNJ,JPM,V,HD,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.356879877,-0.04089476,0.225373353,21
Equal-weighted,"NFLX,NVDA,BABA,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,VZ,CRM,ADBE,DIS,CMCSA",0.288879329,-0.039908335,0.225983793,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,ADBE,DIS,CMCSA",0.347864287,-0.040483737,0.226090111,21
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,VZ,CRM,ADBE,DIS,CMCSA",0.330379968,-0.041975332,0.226152648,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,VZ,CRM,ADBE,DIS,CMCSA",0.312834495,-0.042623016,0.226294101,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,MSFT,BRK-B,JNJ,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.35556103,-0.040686123,0.226344828,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,MSFT,BRK-B,JNJ,JPM,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.357223468,-0.041085682,0.226544485,21
Equal-weighted,"NFLX,NVDA,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.331862557,-0.039717534,0.227130125,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,MSFT,BRK-B,JNJ,JPM,V,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.350406623,-0.040894747,0.227269218,21
Equal-weighted,"NFLX,NVDA,BABA,TWTR,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.314317084,-0.040349593,0.227271579,21
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.355817723,-0.042406429,0.227440434,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.345989506,-0.041054481,0.227574809,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS",0.349565997,-0.040494576,0.228278679,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.342587719,-0.040775636,0.228793669,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,VZ,CRM,ADBE,DIS,CMCSA",0.305629818,-0.037459692,0.229257977,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,CMCSA",0.344856407,-0.039993631,0.229520995,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,VZ,CRM,ADBE,DIS,CMCSA",0.329036296,-0.0425165,0.229705303,21
Equal-weighted,"NFLX,NVDA,BABA,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.307112407,-0.035094398,0.230235455,21
Equal-weighted,"NFLX,NVDA,BIDU,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.348613046,-0.037151234,0.23040431,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.331067573,-0.037783293,0.230545763,21
Equal-weighted,"NFLX,NVDA,BABA,TWTR,AAPL,AMZN,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.330518885,-0.04022909,0.230682781,21
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,AAPL,AMZN,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.372019524,-0.042285926,0.230851636,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,MSFT,BRK-B,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.35260982,-0.041040124,0.230916887,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AMZN,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.354474051,-0.042917985,0.230993089,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,CRM,ADBE,DIS,CMCSA",0.359370278,-0.040834819,0.231089521,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,MSFT,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.355375353,-0.040880716,0.231107603,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,VZ,CRM,ADBE,DIS,CMCSA",0.318876965,-0.042735018,0.231214733,21
Equal-weighted,"NFLX,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,SEDG,MSFT,BRK-B,JNJ,JPM,V,HD,MA,VZ,CRM,ADBE,DIS,CMCSA",0.338878517,-0.042853221,0.231595256,21
